symbol,date,open,high,low,close,volume,currency
JPM,2026-06-09,194.2069,196.6985,193.8901,195.8042,2706275,USD
HSBA.L,2026-06-09,6.5556,6.5564,6.4281,6.5042,650534,GBP
SAP.DE,2026-06-09,174.9408,176.0235,173.998,175.6202,2629809,EUR
TM,2026-06-09,2850.2351,2858.6499,2813.1439,2848.5622,3798662,JPY
NVDA,2026-06-09,118.8375,120.1587,118.8001,119.3139,1739118,USD
BARC.L,2026-06-09,2.0811,2.0872,2.0687,2.0724,2741498,GBP
AAPL,2026-06-10,195.5413,196.4767,193.3325,195.4254,1875835,USD
MSFT,2026-06-10,444.877,445.3595,433.2183,439.5705,1384269,USD
JPM,2026-06-10,192.202,192.9843,191.7274,192.7678,1660574,USD
HSBA.L,2026-06-10,6.4521,6.4799,6.3855,6.4764,821466,GBP
SAP.DE,2026-06-10,172.9592,175.1923,172.6108,174.0477,3030877,EUR
TM,2026-06-10,2855.1914,2863.5981,2835.1254,2848.339,594822,JPY
NVDA,2026-06-10,117.2383,119.9436,116.7543,118.2146,417824,USD
BARC.L,2026-06-10,2.1021,2.1229,2.0975,2.1078,3335563,GBP
AAPL,2026-06-11,196.5978,196.9078,193.8484,195.9259,3646731,USD
MSFT,2026-06-11,452.228,455.0946,442.6511,448.6306,1361051,USD
JPM,2026-06-11,194.4942,195.1175,193.9671,194.6793,406799,USD
HSBA.L,2026-06-11,6.469,6.4751,6.4078,6.4463,436635,GBP
SAP.DE,2026-06-11,170.0919,171.365,169.9557,171.1051,3394055,EUR
TM,2026-06-11,2887.2876,2891.8691,2868.7193,2888.6199,1442459,JPY
NVDA,2026-06-11,116.7931,118.1492,115.8216,117.2689,3500630,USD
BARC.L,2026-06-11,2.0909,2.1223,2.0706,2.0911,659570,GBP
AAPL,2026-06-12,198.3155,198.7645,196.2899,197.7074,4443906,USD
MSFT,2026-06-12,441.3757,446.294,435.6266,440.092,4026813,USD
JPM,2026-06-12,196.9057,199.819,196.5023,197.6575,3109722,USD
HSBA.L,2026-06-12,6.4469,6.4712,6.3576,6.4147,4037201,GBP
SAP.DE,2026-06-12,172.0015,175.1289,170.7322,173.0209,3936526,EUR
TM,2026-06-12,2873.3072,2889.17,2831.5267,2850.8631,2441940,JPY
NVDA,2026-06-12,115.481,116.6071,115.0228,116.3257,886296,USD
BARC.L,2026-06-12,2.0796,2.1161,2.0738,2.085,839792,GBP
AAPL,2026-06-15,199.1705,200.1138,199.0201,199.8535,2652038,USD
MSFT,2026-06-15,429.7283,437.6334,428.6117,434.119,1226693,USD
JPM,2026-06-15,199.9561,201.1328,198.7075,199.4189,4264826,USD
HSBA.L,2026-06-15,6.3482,6.3618,6.2853,6.3178,1178382,GBP
SAP.DE,2026-06-15,172.9617,173.2728,171.0953,172.0291,3240254,EUR
TM,2026-06-15,2854.6148,2866.8349,2832.8692,2859.9645,3418001,JPY
NVDA,2026-06-15,119.0401,119.4227,117.2494,118.612,3532104,USD
BARC.L,2026-06-15,2.0759,2.0762,2.0706,2.0726,411219,GBP
AAPL,2026-06-16,203.3719,204.085,203.0165,203.8654,3283928,USD
MSFT,2026-06-16,441.1542,445.091,437.0067,442.7789,780676,USD
JPM,2026-06-16,200.8846,202.6115,199.2285,200.4406,2516848,USD
HSBA.L,2026-06-16,6.2606,6.2901,6.1865,6.2438,3431298,GBP
SAP.DE,2026-06-16,173.3294,175.6321,171.8893,173.5927,238890,EUR
TM,2026-06-16,2916.4562,2932.6088,2886.9206,2919.4456,3448139,JPY
NVDA,2026-06-16,120.3592,121.2671,119.7894,120.8218,2103472,USD
BARC.L,2026-06-16,2.0871,2.1032,2.0766,2.0845,4337449,GBP
AAPL,2026-06-17,201.0825,203.4486,198.0289,200.9535,1585368,USD
MSFT,2026-06-17,447.8207,453.273,445.8988,448.2933,1806334,USD
JPM,2026-06-17,197.2464,200.4022,196.3056,198.4586,4048480,USD
HSBA.L,2026-06-17,6.3122,6.3352,6.293,6.3132,1008343,GBP
SAP.DE,2026-06-17,170.1323,171.1441,168.3924,170.3366,1245056,EUR
TM,2026-06-17,2944.2221,2944.461,2884.537,2909.428,385270,JPY
NVDA,2026-06-17,124.4924,124.5264,122.974,123.146,2447803,USD
BARC.L,2026-06-17,2.0675,2.0802,2.0566,2.0749,301089,GBP
AAPL,2026-06-18,196.5426,197.1399,195.2873,197.1024,4040342,USD
MSFT,2026-06-18,445.3663,447.7988,438.9844,441.7224,1307757,USD
JPM,2026-06-18,202.3208,202.7403,199.601,201.0062,4962798,USD
HSBA.L,2026-06-18,6.3529,6.3542,6.3466,6.3486,4865975,GBP
SAP.DE,2026-06-18,170.6805,171.2083,170.3846,170.4977,219585,EUR
TM,2026-06-18,2965.4471,2972.6445,2950.7292,2961.049,4491443,JPY
NVDA,2026-06-18,121.329,122.4861,120.9854,121.0872,2089097,USD
BARC.L,2026-06-18,2.0839,2.0894,2.0621,2.0808,4376686,GBP
AAPL,2026-06-19,192.359,195.3662,192.302,194.5508,4936695,USD
MSFT,2026-06-19,451.2213,453.3809,446.6347,451.2713,2601119,USD
JPM,2026-06-19,203.8412,206.2854,203.0285,204.3514,799775,USD
HSBA.L,2026-06-19,6.5224,6.5242,6.3943,6.4567,952033,GBP
SAP.DE,2026-06-19,173.7676,174.3123,171.7723,172.7165,3097489,EUR
TM,2026-06-19,2910.8397,2957.1285,2902.8187,2931.8203,1779139,JPY
NVDA,2026-06-19,122.0432,122.3922,120.6216,121.683,3638284,USD
BARC.L,2026-06-19,2.0516,2.0654,2.0368,2.0649,393794,GBP
AAPL,2026-06-22,198.5465,199.9328,198.2418,198.2829,720105,USD
MSFT,2026-06-22,447.5427,454.3463,445.7924,448.4586,2073819,USD
JPM,2026-06-22,204.8791,205.9,203.203,203.7256,2194352,USD
HSBA.L,2026-06-22,6.5785,6.6096,6.5454,6.5607,3304132,GBP
SAP.DE,2026-06-22,174.1282,176.4039,172.3199,174.4024,2070953,EUR
TM,2026-06-22,2892.7781,2916.9649,2859.8221,2891.6448,2261763,JPY
NVDA,2026-06-22,122.2164,123.0462,120.5583,121.9627,1262105,USD
BARC.L,2026-06-22,2.0944,2.1019,2.0736,2.082,2771210,GBP
AAPL,2026-06-23,197.7777,200.4505,197.4642,200.0098,4168994,USD
MSFT,2026-06-23,460.1094,460.8347,454.0708,455.3063,4149611,USD
JPM,2026-06-23,199.6245,201.7238,198.1032,200.8431,3326342,USD
HSBA.L,2026-06-23,6.5635,6.6474,6.5408,6.5836,809033,GBP
SAP.DE,2026-06-23,171.9122,171.9732,171.6924,171.8045,2824670,EUR
TM,2026-06-23,2904.3036,2906.6962,2861.3402,2866.3635,4197867,JPY
NVDA,2026-06-23,121.5692,124.32,121.304,122.8023,4918636,USD
BARC.L,2026-06-23,2.0652,2.0725,2.0359,2.0503,2360144,GBP
AAPL,2026-06-24,197.4358,198.6978,197.1776,198.4414,2116221,USD
MSFT,2026-06-24,446.9509,451.4491,445.956,449.8953,573669,USD
JPM,2026-06-24,199.7359,201.1699,197.4918,199.8068,4456953,USD
HSBA.L,2026-06-24,6.6058,6.6668,6.5641,6.6149,1566477,GBP
SAP.DE,2026-06-24,170.7146,171.1551,168.8388,169.8299,3286063,EUR
TM,2026-06-24,2884.6516,2889.1666,2848.5268,2868.7464,114520,JPY
NVDA,2026-06-24,122.9711,124.8767,122.5524,123.6746,4460560,USD
BARC.L,2026-06-24,2.0838,2.0874,2.063,2.079,1696221,GBP
AAPL,2026-06-25,201.7946,203.596,199.6047,200.9373,3462604,USD
MSFT,2026-06-25,452.8905,459.6487,451.8054,456.0441,4856027,USD
JPM,2026-06-25,205.3454,205.5214,201.151,203.5296,3986507,USD
HSBA.L,2026-06-25,6.6216,6.6504,6.5448,6.5649,518729,GBP
SAP.DE,2026-06-25,167.286,167.493,164.9518,166.9737,2133093,EUR
TM,2026-06-25,2859.6634,2871.1406,2850.0922,2853.7638,2790430,JPY
NVDA,2026-06-25,123.4833,123.8745,123.3986,123.5952,1721361,USD
BARC.L,2026-06-25,2.0892,2.1053,2.0599,2.08,754084,GBP
AAPL,2026-06-26,199.2818,199.3615,197.108,197.1246,2829886,USD
MSFT,2026-06-26,451.9901,461.1827,451.3257,457.3573,2044952,USD
JPM,2026-06-26,204.4859,204.6039,201.9978,204.3442,3887084,USD
HSBA.L,2026-06-26,6.573,6.597,6.5104,6.5772,1613404,GBP
SAP.DE,2026-06-26,165.4167,166.0272,163.7738,165.9495,671443,EUR
TM,2026-06-26,2795.0685,2810.0616,2775.2139,2803.2442,738564,JPY
NVDA,2026-06-26,122.6452,123.6894,121.6251,122.8635,1643628,USD
BARC.L,2026-06-26,2.1166,2.1225,2.1064,2.119,4498188,GBP
AAPL,2026-06-29,202.1608,202.5908,199.431,200.2167,1379816,USD
MSFT,2026-06-29,453.3415,453.6436,449.0021,449.1999,1620480,USD
JPM,2026-06-29,208.8124,209.5797,208.7139,208.8067,3089811,USD
HSBA.L,2026-06-29,6.4582,6.535,6.3778,6.4564,3586594,GBP
SAP.DE,2026-06-29,166.3336,167.6261,165.7303,167.4149,3817473,EUR
TM,2026-06-29,2765.1919,2794.9983,2758.5512,2788.0157,3370046,JPY
NVDA,2026-06-29,123.1627,123.2038,121.8696,122.7468,2998548,USD
BARC.L,2026-06-29,2.153,2.1655,2.1357,2.1363,113393,GBP
AAPL,2026-06-30,199.5153,201.7727,196.8074,199.6204,1581847,USD
MSFT,2026-06-30,439.5611,443.7907,437.771,440.4217,3628009,USD
JPM,2026-06-30,208.9832,209.2016,208.6999,208.7421,1743492,USD
HSBA.L,2026-06-30,6.4396,6.5595,6.4386,6.4653,3691451,GBP
SAP.DE,2026-06-30,164.7605,165.5569,164.5828,165.3973,2034548,EUR
TM,2026-06-30,2747.633,2800.7662,2727.8759,2762.7168,457542,JPY
NVDA,2026-06-30,122.3619,122.4236,121.9113,122.23,3761301,USD
BARC.L,2026-06-30,2.1114,2.1423,2.1087,2.111,869884,GBP
AAPL,2026-06-04,191.0,192.0,190.0,191.5,1000000,USD
MSFT,2026-06-15,0,0,0,0,0,USD
